Nodes,Edges,Deg Max,Deg Mean,Deg STD,Size,Time,Algorithm
10,16,7,3.2,2.0396078054371136,3,1.7404556274414062e-05,G&K-1B
10,24,8,4.8,1.9390719429665317,2,1.0251998901367188e-05,G&K-1B
10,24,9,4.8,2.4,1,9.298324584960938e-06,G&K-1B
10,16,9,3.2,2.6758176320519302,1,8.821487426757812e-06,G&K-1B
100,475,31,9.5,6.009159675029446,12,0.00011801719665527344,G&K-1B
100,900,52,18.0,9.539392014169456,7,0.0001785755157470703,G&K-1B
100,1600,68,32.0,13.141537200799608,4,0.00022912025451660156,G&K-1B
100,2500,96,50.0,22.12057865427575,2,0.00025534629821777344,G&K-1B
1000,9900,152,19.8,17.002882108630878,55,0.0021064281463623047,G&K-1B
1000,19600,235,39.2,28.7512086702455,32,0.0023789405822753906,G&K-1B
1000,47500,358,95.0,56.806425692873866,17,0.004189968109130859,G&K-1B
1000,90000,530,180.0,86.31956904433665,11,0.007138252258300781,G&K-1B
1000,160000,706,320.0,123.09383412665315,7,0.01517343521118164,G&K-1B
10000,99900,543,19.98,23.415994533651563,473,0.01992321014404297,G&K-1B
10000,497500,1176,99.5,93.20578308238174,100,0.09041190147399902,G&K-1B
10000,990000,1685,198.0,164.86786648707505,60,0.14618945121765137,G&K-1B
10000,4750000,3700,950.0,561.3529481529424,23,0.4582836627960205,G&K-1B
10000,9000000,5083,1800.0,861.4434394665734,15,0.803734302520752,G&K-1B
10,16,7,3.2,2.0396078054371136,3,3.790855407714844e-05,G&K-1M
10,24,8,4.8,1.9390719429665317,2,3.266334533691406e-05,G&K-1M
10,24,9,4.8,2.4,1,2.09808349609375e-05,G&K-1M
10,16,9,3.2,2.6758176320519302,1,1.7881393432617188e-05,G&K-1M
100,475,31,9.5,6.009159675029446,12,0.0010578632354736328,G&K-1M
100,900,52,18.0,9.539392014169456,7,0.0017516613006591797,G&K-1M
100,1600,68,32.0,13.141537200799608,4,0.002300262451171875,G&K-1M
100,2500,96,50.0,22.12057865427575,2,0.0009870529174804688,G&K-1M
1000,9900,152,19.8,17.002882108630878,55,0.06365299224853516,G&K-1M
1000,19600,235,39.2,28.7512086702455,32,0.13555645942687988,G&K-1M
1000,47500,358,95.0,56.806425692873866,17,0.4500112533569336,G&K-1M
1000,90000,530,180.0,86.31956904433665,11,0.9156086444854736,G&K-1M
1000,160000,706,320.0,123.09383412665315,7,1.5688190460205078,G&K-1M
10000,99900,543,19.98,23.415994533651563,473,4.839498281478882,G&K-1M
10000,497500,1176,99.5,93.20578308238174,100,12.852611780166626,G&K-1M
10000,990000,1685,198.0,164.86786648707505,60,41.64566111564636,G&K-1M
10000,4750000,3700,950.0,561.3529481529424,23,506.92057251930237,G&K-1M
10000,9000000,5083,1800.0,861.4434394665734,15,1318.3854811191559,G&K-1M
10,16,7,3.2,2.0396078054371136,3,4.0531158447265625e-05,G&K-2
10,24,8,4.8,1.9390719429665317,2,3.0517578125e-05,G&K-2
10,24,9,4.8,2.4,1,2.4557113647460938e-05,G&K-2
10,16,9,3.2,2.6758176320519302,1,1.811981201171875e-05,G&K-2
100,475,31,9.5,6.009159675029446,12,0.0006682872772216797,G&K-2
100,900,52,18.0,9.539392014169456,7,0.0008234977722167969,G&K-2
100,1600,68,32.0,13.141537200799608,4,0.001264810562133789,G&K-2
100,2500,96,50.0,22.12057865427575,2,0.0037674903869628906,G&K-2
1000,9900,152,19.8,17.002882108630878,55,0.031838417053222656,G&K-2
1000,19600,235,39.2,28.7512086702455,32,0.030707120895385742,G&K-2
1000,47500,358,95.0,56.806425692873866,17,0.04817032814025879,G&K-2
1000,90000,530,180.0,86.31956904433665,11,0.08405923843383789,G&K-2
1000,160000,706,320.0,123.09383412665315,7,0.1484227180480957,G&K-2
10000,99900,543,19.98,23.415994533651563,473,2.1073203086853027,G&K-2
10000,497500,1176,99.5,93.20578308238174,100,1.6409049034118652,G&K-2
10000,990000,1685,198.0,164.86786648707505,60,1.683943748474121,G&K-2
10000,4750000,3700,950.0,561.3529481529424,23,7.271582126617432,G&K-2
10000,9000000,5083,1800.0,861.4434394665734,15,13.682318210601807,G&K-2
