Nodes,Edges,Deg Max,Deg Mean,Deg STD,Size,Time,Algorithm
10,12,4,2.4,1.1135528725660044,5,1.6927719116210938e-05,G&K-1B
10,14,5,2.8,1.2489995996796797,3,1.0013580322265625e-05,G&K-1B
10,19,6,3.8,1.4,3,1.0728836059570312e-05,G&K-1B
10,36,9,7.2,1.2489995996796797,1,9.5367431640625e-06,G&K-1B
10,43,9,8.6,0.4898979485566356,1,9.775161743164062e-06,G&K-1B
100,505,23,10.1,3.4713109915419564,14,0.00011491775512695312,G&K-1B
100,1200,37,24.0,4.263801121065568,7,0.0001919269561767578,G&K-1B
100,2455,59,49.1,4.731807265728392,4,0.00027680397033691406,G&K-1B
100,3731,87,74.62,4.328463930772671,2,0.0003132820129394531,G&K-1B
100,4457,96,89.14,2.9428557558942634,2,0.0003399848937988281,G&K-1B
1000,49785,128,99.57,9.702942852557673,25,0.006243467330932617,G&K-1B
1000,124689,288,249.378,13.359457923134459,12,0.012802600860595703,G&K-1B
1000,249424,552,498.848,15.797623112354593,6,0.02574610710144043,G&K-1B
1000,374458,794,748.916,13.632715943640871,4,0.03624248504638672,G&K-1B
1000,449990,935,899.98,9.395615998964622,2,0.043500423431396484,G&K-1B
10000,5001072,1123,1000.2144,30.157845291731306,39,0.5976293087005615,G&K-1B
10000,12496649,2704,2499.3298,43.67809327294405,18,1.3121387958526611,G&K-1B
10000,24990441,5193,4998.0882,49.97762520128383,9,2.72255277633667,G&K-1B
10000,37498649,7669,7499.7298,43.446263268087854,5,3.7550840377807617,G&K-1B
10000,44996825,9113,8999.365,30.050074459142362,3,4.7164306640625,G&K-1B
10,12,4,2.4,1.1135528725660044,5,3.504753112792969e-05,G&K-1M
10,14,5,2.8,1.2489995996796797,3,3.0040740966796875e-05,G&K-1M
10,19,6,3.8,1.4,3,3.0994415283203125e-05,G&K-1M
10,36,9,7.2,1.2489995996796797,1,2.4318695068359375e-05,G&K-1M
10,43,9,8.6,0.4898979485566356,1,2.288818359375e-05,G&K-1M
100,505,23,10.1,3.4713109915419564,14,0.0012161731719970703,G&K-1M
100,1200,37,24.0,4.263801121065568,7,0.0035829544067382812,G&K-1M
100,2455,59,49.1,4.731807265728392,4,0.005231380462646484,G&K-1M
100,3731,87,74.62,4.328463930772671,2,0.0020225048065185547,G&K-1M
100,4457,96,89.14,2.9428557558942634,2,0.0014345645904541016,G&K-1M
1000,49785,128,99.57,9.702942852557673,26,1.0739974975585938,G&K-1M
1000,124689,288,249.378,13.359457923134459,12,5.256593227386475,G&K-1M
1000,249424,552,498.848,15.797623112354593,6,7.446490526199341,G&K-1M
1000,374458,794,748.916,13.632715943640871,4,2.7344090938568115,G&K-1M
1000,449990,935,899.98,9.395615998964622,2,0.41155004501342773,G&K-1M
10000,5001072,1123,1000.2144,30.157845291731306,39,1479.6038250923157,G&K-1M
10000,12496649,2704,2499.3298,43.67809327294405,18,7246.520758867264,G&K-1M
10000,24990441,5193,4998.0882,49.97762520128383,9,11930.079906702042,G&K-1M
10000,37498649,7669,7499.7298,43.446263268087854,5,5015.921912431717,G&K-1M
10000,44996825,9113,8999.365,30.050074459142362,3,973.4389245510101,G&K-1M
10,12,4,2.4,1.1135528725660044,5,4.38690185546875e-05,G&K-2
10,14,5,2.8,1.2489995996796797,4,2.956390380859375e-05,G&K-2
10,19,6,3.8,1.4,3,2.9802322387695312e-05,G&K-2
10,36,9,7.2,1.2489995996796797,1,3.218650817871094e-05,G&K-2
10,43,9,8.6,0.4898979485566356,1,3.0517578125e-05,G&K-2
100,505,23,10.1,3.4713109915419564,14,0.0007536411285400391,G&K-2
100,1200,37,24.0,4.263801121065568,7,0.00098419189453125,G&K-2
100,2455,59,49.1,4.731807265728392,4,0.0016067028045654297,G&K-2
100,3731,87,74.62,4.328463930772671,2,0.002428293228149414,G&K-2
100,4457,96,89.14,2.9428557558942634,2,0.0036797523498535156,G&K-2
1000,49785,128,99.57,9.702942852557673,25,0.06296443939208984,G&K-2
1000,124689,288,249.378,13.359457923134459,12,0.15267729759216309,G&K-2
1000,249424,552,498.848,15.797623112354593,6,0.31392526626586914,G&K-2
1000,374458,794,748.916,13.632715943640871,4,0.4785001277923584,G&K-2
1000,449990,935,899.98,9.395615998964622,2,0.4797039031982422,G&K-2
10000,5001072,1123,1000.2144,30.157845291731306,40,8.65757703781128,G&K-2
10000,12496649,2704,2499.3298,43.67809327294405,18,21.828922510147095,G&K-2
10000,24990441,5193,4998.0882,49.97762520128383,9,47.42174434661865,G&K-2
10000,37498649,7669,7499.7298,43.446263268087854,5,58.421109676361084,G&K-2
10000,44996825,9113,8999.365,30.050074459142362,3,69.2685558795929,G&K-2
