Nodes,Edges,Deg Max,Deg Mean,Deg STD,Clustering,Size,Time,Algorithm
9,11,4,2.4444444444444446,1.0657403385139377,0.48148148148148145,4,8.988380432128906e-05,G&K-1B
7,6,2,1.7142857142857142,0.45175395145262565,0.0,5,5.817413330078125e-05,G&K-1B
80,79,2,1.975,0.15612494995995996,0.0,78,0.00023317337036132812,G&K-1B
61,98,5,3.2131147540983607,1.0261299904609065,0.4683060109289616,40,0.000186920166015625,G&K-1B
53,198,10,7.471698113207547,1.958086990810507,0.8088050314465413,16,0.00020813941955566406,G&K-1B
51,231,12,9.058823529411764,2.2701106883774593,0.8374840845429073,13,0.00020360946655273438,G&K-1B
618,1008,6,3.262135922330097,1.0012403154225191,0.48565264293419574,419,0.002085447311401367,G&K-1B
567,2051,11,7.234567901234568,2.273147624315815,0.7499353576073174,213,0.0023441314697265625,G&K-1B
509,4528,26,17.791748526522593,5.028782645872955,0.85453748949086,85,0.00298309326171875,G&K-1B
498,10018,50,40.23293172690763,8.946177743833086,0.908713202712729,39,0.004608154296875,G&K-1B
5487,19310,12,7.038454528886459,2.1934377872375768,0.7515741260137087,2090,0.03141188621520996,G&K-1B
5040,46641,27,18.508333333333333,5.003523560039766,0.8625470089783921,867,0.0391387939453125,G&K-1B
4985,95918,54,38.482647943831495,9.061859727151596,0.8915320000351015,433,0.04847311973571777,G&K-1B
4876,489286,247,200.6915504511895,35.67354974962319,0.9159612023631626,85,0.2651641368865967,G&K-1B
4809,954461,484,396.9478061967145,69.89439781101186,0.9213482408509346,42,0.5787887573242188,G&K-1B
9,11,4,2.4444444444444446,1.0657403385139377,0.48148148148148145,4,0.0001595020294189453,G&K-1M
7,6,2,1.7142857142857142,0.45175395145262565,0.0,5,0.000102996826171875,G&K-1M
80,79,2,1.975,0.15612494995995996,0.0,78,0.0005609989166259766,G&K-1M
61,98,5,3.2131147540983607,1.0261299904609065,0.4683060109289616,40,0.0004801750183105469,G&K-1M
53,198,10,7.471698113207547,1.958086990810507,0.8088050314465413,16,0.0005910396575927734,G&K-1M
51,231,12,9.058823529411764,2.2701106883774593,0.8374840845429073,13,0.0006003379821777344,G&K-1M
618,1008,6,3.262135922330097,1.0012403154225191,0.48565264293419574,419,0.014050960540771484,G&K-1M
567,2051,11,7.234567901234568,2.273147624315815,0.7499353576073174,213,0.014548301696777344,G&K-1M
509,4528,26,17.791748526522593,5.028782645872955,0.85453748949086,85,0.015372276306152344,G&K-1M
498,10018,50,40.23293172690763,8.946177743833086,0.908713202712729,39,0.03083181381225586,G&K-1M
5487,19310,12,7.038454528886459,2.1934377872375768,0.7515741260137087,2090,0.8707871437072754,G&K-1M
5040,46641,27,18.508333333333333,5.003523560039766,0.8625470089783921,867,0.527618408203125,G&K-1M
4985,95918,54,38.482647943831495,9.061859727151596,0.8915320000351015,433,0.5213363170623779,G&K-1M
4876,489286,247,200.6915504511895,35.67354974962319,0.9159612023631626,85,2.9805994033813477,G&K-1M
4809,954461,484,396.9478061967145,69.89439781101186,0.9213482408509346,42,6.288102626800537,G&K-1M
9,11,4,2.4444444444444446,1.0657403385139377,0.48148148148148145,4,0.0001914501190185547,G&K-2
7,6,2,1.7142857142857142,0.45175395145262565,0.0,5,0.0001277923583984375,G&K-2
80,79,2,1.975,0.15612494995995996,0.0,78,0.0017957687377929688,G&K-2
61,98,5,3.2131147540983607,1.0261299904609065,0.4683060109289616,40,0.001222372055053711,G&K-2
53,198,10,7.471698113207547,1.958086990810507,0.8088050314465413,16,0.0008828639984130859,G&K-2
