Nodes,Edges,Deg Max,Deg Mean,Deg STD,Clustering,Size,Time,Algorithm
10,16,5,3.2,1.3266499161421599,0.5199999999999999,3,4.863739013671875e-05,G&K-1B
10,14,6,2.8,1.6613247725836149,0.23333333333333334,4,3.743171691894531e-05,G&K-1B
100,318,16,6.36,2.624957142507283,0.5030392107892109,16,0.0003292560577392578,G&K-1B
100,297,26,5.94,3.285787576822336,0.5489628371628371,15,0.0003199577331542969,G&K-1B
100,548,32,10.96,4.685979086594391,0.6242385876886549,9,0.0003809928894042969,G&K-1B
100,666,27,13.32,4.7114329030561395,0.6011168367759429,8,0.0003933906555175781,G&K-1B
1000,5398,54,10.796,5.356153843944365,0.5752995232653485,76,0.007972955703735352,G&K-1B
1000,6583,57,13.166,6.034769589636377,0.6171022117385756,58,0.026457786560058594,G&K-1B
1000,12957,89,25.914,10.65573104014924,0.6295619277098011,34,0.008044004440307617,G&K-1B
1000,25284,157,50.568,18.843709189010536,0.6305671418724825,16,0.012139320373535156,G&K-1B
10000,74844,74,14.9688,6.979715363823943,0.6009755154466474,485,0.11253023147583008,G&K-1B
10000,132630,99,26.526,10.466839255477272,0.6301842475777265,312,0.09540247917175293,G&K-1B
10000,259155,188,51.831,19.391483671962803,0.636174866948446,144,0.39807701110839844,G&K-1B
10000,1254172,916,250.8344,85.50512953408118,0.6323485776217986,33,0.7596046924591064,G&K-1B
10000,2480619,1617,496.1238,168.64552669300184,0.6312880285431286,17,2.306842565536499,G&K-1B
10,16,5,3.2,1.3266499161421599,0.5199999999999999,3,0.00011682510375976562,G&K-1M
10,14,6,2.8,1.6613247725836149,0.23333333333333334,4,8.988380432128906e-05,G&K-1M
100,318,16,6.36,2.624957142507283,0.5030392107892109,16,0.0010631084442138672,G&K-1M
100,297,26,5.94,3.285787576822336,0.5489628371628371,15,0.0010731220245361328,G&K-1M
100,548,32,10.96,4.685979086594391,0.6242385876886549,9,0.0012445449829101562,G&K-1M
100,666,27,13.32,4.7114329030561395,0.6011168367759429,8,0.0016887187957763672,G&K-1M
1000,5398,54,10.796,5.356153843944365,0.5752995232653485,76,0.0915670394897461,G&K-1M
1000,6583,57,13.166,6.034769589636377,0.6171022117385756,58,0.07656693458557129,G&K-1M
1000,12957,89,25.914,10.65573104014924,0.6295619277098011,34,0.038613319396972656,G&K-1M
1000,25284,157,50.568,18.843709189010536,0.6305671418724825,16,0.07597708702087402,G&K-1M
10000,74844,74,14.9688,6.979715363823943,0.6009755154466474,485,1.4239327907562256,G&K-1M
10000,132630,99,26.526,10.466839255477272,0.6301842475777265,312,1.0896682739257812,G&K-1M
10000,259155,188,51.831,19.391483671962803,0.636174866948446,144,1.0763695240020752,G&K-1M
10000,1254172,916,250.8344,85.50512953408118,0.6323485776217986,33,5.784448623657227,G&K-1M
10000,2480619,1617,496.1238,168.64552669300184,0.6312880285431286,17,25.107001781463623,G&K-1M
10,16,5,3.2,1.3266499161421599,0.5199999999999999,3,0.0001590251922607422,G&K-2
10,14,6,2.8,1.6613247725836149,0.23333333333333334,4,9.179115295410156e-05,G&K-2
100,318,16,6.36,2.624957142507283,0.5030392107892109,24,0.002242565155029297,G&K-2
100,297,26,5.94,3.285787576822336,0.5489628371628371,17,0.0023751258850097656,G&K-2
100,548,32,10.96,4.685979086594391,0.6242385876886549,9,0.0017404556274414062,G&K-2
100,666,27,13.32,4.7114329030561395,0.6011168367759429,8,0.0021429061889648438,G&K-2
1000,5398,54,10.796,5.356153843944365,0.5752995232653485,84,0.19727396965026855,G&K-2
1000,6583,57,13.166,6.034769589636377,0.6171022117385756,66,0.16797757148742676,G&K-2
1000,12957,89,25.914,10.65573104014924,0.6295619277098011,38,0.08040142059326172,G&K-2
1000,25284,157,50.568,18.843709189010536,0.6305671418724825,18,0.10940718650817871,G&K-2
10000,74844,74,14.9688,6.979715363823943,0.6009755154466474,567,7.130545377731323,G&K-2
10000,132630,99,26.526,10.466839255477272,0.6301842475777265,346,4.92358660697937,G&K-2
10000,259155,188,51.831,19.391483671962803,0.636174866948446,158,3.3538477420806885,G&K-2
10000,1254172,916,250.8344,85.50512953408118,0.6323485776217986,39,8.896779537200928,G&K-2
10000,2480619,1617,496.1238,168.64552669300184,0.6312880285431286,17,18.883979082107544,G&K-2
10,16,5,3.2,1.3266499161421599,0.5199999999999999,3,0.001674652099609375,GT
10,14,6,2.8,1.6613247725836149,0.23333333333333334,4,0.0002923011779785156,GT
100,318,16,6.36,2.624957142507283,0.5030392107892109,16,0.007083415985107422,GT
100,297,26,5.94,3.285787576822336,0.5489628371628371,15,0.0053882598876953125,GT
100,548,32,10.96,4.685979086594391,0.6242385876886549,9,0.004292726516723633,GT
100,666,27,13.32,4.7114329030561395,0.6011168367759429,8,0.0045697689056396484,GT
1000,5398,54,10.796,5.356153843944365,0.5752995232653485,76,0.6731984615325928,GT
1000,6583,57,13.166,6.034769589636377,0.6171022117385756,58,0.9350483417510986,GT
1000,12957,89,25.914,10.65573104014924,0.6295619277098011,34,0.30848002433776855,GT
1000,25284,157,50.568,18.843709189010536,0.6305671418724825,16,0.3308563232421875,GT
10000,74844,74,14.9688,6.979715363823943,0.6009755154466474,485,36.20932102203369,GT
10000,132630,99,26.526,10.466839255477272,0.6301842475777265,312,39.686527252197266,GT
10000,259155,188,51.831,19.391483671962803,0.636174866948446,144,36.43412899971008,GT
10000,1254172,916,250.8344,85.50512953408118,0.6323485776217986,33,43.781494140625,GT
10000,2480619,1617,496.1238,168.64552669300184,0.6312880285431286,17,47.2361261844635,GT
