Nodes,Edges,Deg Max,Deg Mean,Deg STD,Clustering,Size,Time,Algorithm
10,20,6,4.0,0.7745966692414834,0.4999999999999999,3,6.985664367675781e-05,G&K-1B
10,20,5,4.0,0.7745966692414834,0.45,4,0.00036525726318359375,G&K-1B
10,20,5,4.0,0.6324555320336759,0.4033333333333333,3,4.482269287109375e-05,G&K-1B
10,20,6,4.0,1.0954451150103321,0.2833333333333333,3,3.0994415283203125e-05,G&K-1B
10,20,7,4.0,1.4832396974191326,0.4314285714285714,3,2.9802322387695312e-05,G&K-1B
10,20,5,4.0,0.6324555320336759,0.38666666666666666,3,4.172325134277344e-05,G&K-1B
10,20,6,4.0,0.8944271909999159,0.4033333333333333,2,3.0517578125e-05,G&K-1B
10,20,6,4.0,1.0,0.31,3,2.956390380859375e-05,G&K-1B
10,20,6,4.0,1.0954451150103321,0.29,3,3.075599670410156e-05,G&K-1B
10,20,7,4.0,1.61245154965971,0.3980952380952381,2,3.170967102050781e-05,G&K-1B
100,600,15,12.0,1.1575836902790226,0.49643256743256736,12,0.0003733634948730469,G&K-1B
100,600,18,12.0,1.794435844492636,0.32351578323637137,14,0.00042366981506347656,G&K-1B
100,600,17,12.0,2.1400934559032696,0.1599729633111985,14,0.00040650367736816406,G&K-1B
100,600,18,12.0,2.328089345364563,0.12191659974012904,14,0.0004367828369140625,G&K-1B
100,600,20,12.0,2.3832750575625967,0.1025073724864746,12,0.000408172607421875,G&K-1B
100,700,17,14.0,1.1832159566199232,0.49537361984420814,10,0.0003876686096191406,G&K-1B
100,700,18,14.0,1.833030277982336,0.34868537018537005,12,0.00048232078552246094,G&K-1B
100,700,20,14.0,2.3194827009486403,0.19918907932452823,12,0.00044918060302734375,G&K-1B
100,700,20,14.0,2.4859605789312105,0.1360092266694433,11,0.0004220008850097656,G&K-1B
100,700,21,14.0,2.4859605789312105,0.1269414840405552,12,0.0005207061767578125,G&K-1B
100,900,23,18.0,1.224744871391589,0.5357709017661569,9,0.0005066394805908203,G&K-1B
100,900,22,18.0,1.96468827043885,0.3162520273843803,9,0.00046443939208984375,G&K-1B
100,900,27,18.0,2.4083189157584592,0.20456965080282477,9,0.0005192756652832031,G&K-1B
100,900,24,18.0,2.716615541441225,0.18040170601373312,10,0.0005509853363037109,G&K-1B
100,900,23,18.0,2.6795522013948525,0.16643492391008874,10,0.0006651878356933594,G&K-1B
